#Name	TATA-box	Inr	CCAAT-box	GC-box
Mmp16_1	0	0	0	0
Gria3_1	0	0	1	0
Churc1_1	0	0	0	1
Ppp2r2d_2	0	1	0	1
Ctdsp2_1	0	0	0	0
Wasf3_2	0	1	0	0
D2hgdh_1	0	0	0	1
Zfp64_1	0	0	0	0
Tfap2b_1	0	0	0	1
Grk4_1	0	0	0	0
Scpep1os_1	0	0	0	0
Dnajc13_1	0	1	0	1
Zfp619_1	0	0	1	0
Bclaf1_2	0	0	0	0
Bri3_1	0	1	0	1
Platr17_2	0	0	0	0
Abi3bp_1	1	1	0	0
AK138849_1	0	0	0	0
Pcolce2_2	0	0	0	1
A830082K12Rik_1	0	0	0	1
Crem_1	0	1	0	0
Jmjd6_2	0	1	0	0
Mtss1l_1	0	1	0	0
Acap2_1	0	1	0	0
Rasgef1b_1	0	1	1	1
Snx29_2	0	0	0	0
Nudt22_1	0	1	1	0
Kif6_1	0	0	0	1
Ankrd40_1	0	0	0	0
Zfp617_1	0	0	1	0
Chil3_1	1	1	0	1
Ascl5_1	0	1	0	0
Loxhd1_1	0	0	0	0
Exd2_2	0	0	0	0
Ccdc51_1	0	1	1	0
Actn1_1	0	1	1	1
Ifi30_1	0	0	0	1
Snhg12_1	1	0	0	0
AK134715_1	0	1	0	0
Cltb_1	0	1	0	1
Arih1_1	0	1	0	0
Ms4a13_1	0	0	0	1
Tor1aip2_1	0	1	0	1
Trpm6_1	0	1	0	0
Nek4_1	0	1	0	1
Jph3_1	0	1	0	0
Gpsm2_1	1	0	1	1
Gon4l_1	0	0	0	0
Crtc3_1	0	0	0	0
Pth_1	1	0	0	0
4930483K19Rik_1	1	0	0	0
Capza1_1	0	0	0	0
Zeb2_2	0	0	1	0
Fam71f2_1	0	1	0	0
Doc2b_1	0	1	0	0
Gfod1_1	0	0	1	1
Acbd4_2	0	0	0	0
Zfp282_1	0	0	1	0
Pde8b_1	0	0	0	0
Hsf3_1	0	0	0	1
Scube2_2	0	0	0	0
4930562F07Rik_1	0	0	0	0
Acvr1_2	0	1	0	1
AI987944_1	0	0	1	1
Ccm2_1	0	1	0	1
Dclk3_1	0	0	0	1
AK052161_1	0	1	1	0
Sost_1	1	1	0	1
Gltpd2_1	0	0	0	0
Nfix_1	0	1	0	1
Adgrf1_1	0	0	0	0
Zbtb21_1	0	1	0	1
DQ703715_1	0	0	0	0
Hmgcr_2	0	0	0	0
Slc39a9_1	0	0	0	0
Ccp110_2	0	0	1	0
Ly6g6d_1	0	1	0	0
P2rx5_1	0	0	0	0
Ppdpf_1	0	0	0	1
Fam45a_1	0	1	0	0
Gcnt2_1	0	1	0	1
Cyp26a1_1	1	0	0	1
Papd7_1	0	1	0	0
Casz1_2	0	0	0	0
Ephb6_2	0	1	0	1
1700067G17Rik_1	0	0	0	1
Hnrnpul2_1	0	0	0	0
Gzme_1	1	1	0	0
Scgb2b18_1	0	0	0	1
Ptprg_1	1	0	0	0
Bhlhb9_1	0	0	0	1
Opa1_1	0	0	0	1
Max_1	0	1	0	0
Atf7ip_2	0	0	0	1
BC006965_1	0	1	0	0
Nr1h4_2	0	1	0	0
2010320M18Rik_1	0	0	0	1
Slc35g3_1	0	1	0	0
Pot1b_1	0	0	0	1
Cdkl1_2	0	0	0	0
Mir6912_1	0	1	0	1
Commd7_1	0	0	0	0
Il15ra_3	0	0	0	0
B3gnt3_1	0	1	0	1
Rhbdd1_3	0	1	0	0
AK006610_1	0	1	0	0
Zkscan7_1	0	0	0	0
Lhfpl5_1	0	1	0	1
Smim14_1	0	0	0	1
Rangap1_1	0	1	0	0
Uhrf1bp1_1	0	0	0	1
Zfp428_2	0	0	0	0
Itgb5_1	0	0	0	1
Pde3b_1	0	0	0	0
Ak1_1	1	0	0	0
Col9a3_1	0	1	0	1
Rnf31_1	0	0	0	1
Smim5_1	0	0	0	0
Mxd3_1	0	0	0	1
Cmc1_1	0	0	0	1
1700080E11Rik_1	0	1	0	0
Cwc15_1	0	1	1	0
Tsc22d1_4	0	0	0	0
Dek_1	0	0	0	1
Fam213a_2	0	1	1	1
Zfand1_1	0	0	0	1
Prickle1_2	0	0	0	0
Sox11_1	0	0	1	1
Scrn1_1	0	0	0	1
Aldob_1	1	1	1	1
Mir99ahg_3	1	0	1	0
Sun3_2	0	1	0	0
Fam151a_1	0	1	1	1
Cma2_1	1	0	0	0
Pet100_1	0	0	1	0
Sumf1_1	0	1	0	0
Zmym3_1	0	0	0	0
Tmem115_1	0	0	0	0
Nrros_1	0	1	0	1
Clcn4_2	0	1	0	1
Tmem30a_1	0	0	0	1
Myo7a_1	0	1	0	1
1700020L24Rik_1	0	1	0	1
Sec24b_2	0	0	0	0
Naalad2_2	0	0	0	0
Invs_1	0	1	0	0
AK145095_1	0	1	1	0
Sirt2_1	0	0	1	0
AK038087_1	0	1	0	0
E130311K13Rik_1	0	0	0	0
Kif1a_1	0	1	0	1
Ctnnal1_1	0	1	0	1
Dusp26_2	0	1	0	1
Chst3_1	0	1	0	1
Kcng2_1	0	0	0	0
Krtap5-1_1	1	1	0	0
Pik3c2a_1	0	1	1	1
4930544G11Rik_1	0	0	0	0
1700012B07Rik_1	0	1	0	0
Cntn1_3	0	0	1	0
Actn3_1	0	0	0	1
1110019D14Rik_1	0	0	0	0
Rubie_1	1	0	1	0
Pantr1_3	0	0	0	0
Saa3_1	1	1	0	0
Olfr1102_1	0	0	0	0
Arid3a_2	0	0	0	0
Eva1b_1	0	0	0	1
Pmaip1_1	1	0	0	0
Ly6g6e_2	0	1	0	0
Zfp148_1	0	0	0	0
Med13_1	0	1	0	0
Khk_1	1	0	1	1
KY467684_1	0	0	0	0
BC061237_1	0	1	0	0
E330034G19Rik_1	0	1	0	0
Sipa1l2_1	0	1	1	1
Cfap65_1	0	0	0	0
Yipf7_1	0	0	1	0
Mt2_1	1	1	0	1
Gpr17_1	1	0	0	0
AK165270_1	0	0	0	0
2610001J05Rik_1	0	1	0	0
Msra_2	0	0	0	0
Cabyr_1	1	0	1	1
Adamts5_1	1	1	0	0
Slc4a8_1	0	0	0	1
Cant1_2	0	1	0	0
Toporsl_2	0	1	1	0
9130230L23Rik_2	1	1	1	1
Dnajc28_1	0	0	0	0
Nxph1_2	0	0	0	1
Klhdc3_2	0	1	0	1
Sgcd_3	0	0	0	0
Gm19589_1	0	1	1	0
Oprk1_1	0	1	0	1
Cyp2c53-ps_1	1	0	0	0
Plau_1	1	0	0	0
Strip2_1	0	1	1	1
Hibadh_1	0	0	1	1
Anks1b_4	0	1	0	0
Fbxo27_3	0	0	1	1
Snord34_1	0	0	0	0
Guca2b_1	1	0	1	1
Mboat7_1	0	0	0	1
C2cd2_1	0	0	0	1
Ankrd7_1	0	0	0	0
Caap1_1	1	0	0	0
Map2k3_1	0	0	1	1
Zfp672_1	0	0	0	1
Dcun1d2_1	0	0	0	0
4930528P14Rik_1	0	0	1	0
Dusp10_1	0	0	1	1
Slc38a2_1	1	0	0	1
Ttyh3_1	0	1	0	1
Afdn_2	0	0	0	0
Zfp982_1	0	0	0	0
Arhgdib_2	0	0	0	1
DXBay18_1	0	1	0	0
Dynap_1	1	0	0	1
Ppp4r1_1	0	0	0	0
Serpina3i_1	0	1	0	0
Zfp423_1	0	0	0	1
Serpinb1a_1	1	1	1	0
Pttg1ip_1	0	0	0	1
Vax2_1	0	0	1	1
Tango2_1	0	0	0	1
Eif4g3_2	0	1	0	1
Cbx6_1	0	0	0	0
Akap14_1	0	0	0	0
Ftmt_1	0	0	1	0
Paqr4_1	0	0	1	1
Gadd45b_1	1	1	1	1
Cntnap1_1	0	1	0	0
Ip6k2_1	0	1	1	1
Mrgpra9_1	0	0	1	0
Sh3d19_1	0	0	0	0
Anxa6_1	0	0	1	1
Syde1_1	0	1	1	0
Dnajc21_2	0	0	0	0
D630045J12Rik_2	0	0	0	0
Rab3c_1	0	0	0	0
Sik2_1	0	1	0	1
Rnpep_1	0	1	0	1
Arhgap26_1	0	0	1	1
1700029B22Rik_1	0	1	0	0
Vip_1	1	1	0	0
Sugp1_1	0	0	0	0
Nos2_1	1	1	0	0
Yeats4_1	0	0	0	0
Zfp445_1	0	0	0	0
N30_1	0	1	0	0
Hhipl1_1	0	1	0	1
Myo9a_1	0	0	0	1
Gm5414_1	1	0	0	0
Ei24_1	0	1	0	1
Igsf10_1	0	0	0	1
Atp5f1_1	0	1	0	1
Strn3_2	0	0	0	1
Zfp777_1	0	1	0	1
Cmtm2b_1	0	1	0	1
Rad51c_1	0	0	0	1
Serpinb9f_1	1	0	0	1
4930520O04Rik_2	0	0	0	1
Zcrb1_2	0	0	1	1
Dlk2_1	0	1	0	0
Pomk_1	0	0	0	0
Bcl2l14_1	0	0	0	1
Ido2_1	0	0	0	1
Sdhd_1	0	0	0	0
Col24a1_2	0	0	0	0
Ccl27a_2	1	0	0	0
Mgat2_1	0	0	0	0
Slc39a5_2	0	1	0	1
Rnf19a_2	0	0	0	0
Lyl1_1	0	1	0	0
Eloa_1	0	1	0	1
Usp27x_1	0	0	0	1
Faim2_1	0	0	0	1
Pgf_1	0	0	0	1
Decr1_1	0	1	0	0
1700071M16Rik_1	0	1	1	0
AK015829_1	0	0	0	0
Tdrd1_1	0	0	0	0
Hexb_1	0	0	1	1
Arhgap27_1	0	0	1	1
Pdcd11_1	0	1	1	0
Abce1_1	0	0	0	1
Pcgf2_2	0	0	0	0
Wfdc15b_1	0	0	0	0
Pkig_2	0	0	0	0
Ube2f_1	0	0	0	0
Ms4a4d_1	0	1	1	0
Gucy2c_1	0	0	1	0
Plcd3_1	0	0	0	1
Nadsyn1_1	0	1	0	1
Prima1_1	1	1	0	1
Rdh5_1	0	1	1	1
Ppef1_2	0	0	0	0
Zfp263_1	0	0	0	1
Rhox10_1	0	0	0	0
1700001L19Rik_1	0	0	0	0
Slc4a3_1	0	0	0	0
Zfp275_1	0	0	1	1
Gnl3l_1	0	1	0	1
AK132687_2	0	0	0	1
Oxct2a_1	0	0	0	0
Wnt10a_1	0	0	0	0
Siglecg_2	0	0	0	0
Spint1_1	0	1	0	1
Ehbp1l1_1	0	0	0	1
Ttk_1	0	1	1	1
Prpf4b_1	0	0	0	1
4930430F08Rik_1	0	0	0	0
Perm1_1	0	0	0	0
Zbtb1_1	0	0	0	0
Aebp2_1	0	0	0	1
Ap1g1_2	0	0	0	0
Rpp14_1	0	1	0	0
Aoc1_2	1	1	0	0
Foxo3_2	0	0	0	1
Hdc_1	1	0	0	1
Arhgap24_1	1	0	0	1
Shpk_1	0	1	1	1
Bub1b_1	0	0	1	0
Accs_1	0	1	1	1
Pcgf5_2	0	0	0	0
Peg10_1	1	0	0	1
Cldn18_1	0	1	0	1
AK140370_1	0	0	0	1
Tspan3_1	0	1	1	0
Rassf8_2	0	0	0	0
Klra7_1	0	1	0	1
Tram1_1	0	0	0	0
Slc6a18_1	1	1	0	0
Taf13_1	0	1	1	0
Adat3_1	0	0	0	0
Saa4_1	1	0	1	0
Zdhhc24_1	0	0	1	1
Abcd3_1	0	1	0	0
Hcfc1r1_2	0	0	0	0
Tsc22d1_2	0	0	0	0
Spcs1_1	0	0	0	0
Ctsk_2	0	0	0	0
Homer3_1	0	0	0	1
Fbrs_1	0	1	0	0
Zbtb25_1	0	1	1	1
Esrrg_2	0	1	0	0
Irak4_1	0	0	0	0
Ubxn2b_1	0	0	0	1
Mir8098_1	0	0	1	1
Zbtb49_1	0	0	0	1
Trdv2-2_1	0	0	0	0
Ifi27l2b_1	0	1	0	1
Evi5_3	0	0	0	0
Aacs_1	0	1	0	1
Csf3_1	1	1	0	0
5730455P16Rik_1	0	0	0	0
Cav1_1	1	0	0	1
Tcp11l2_1	1	1	1	0
Rrm2b_1	0	0	0	1
Coro6_1	0	0	0	0
Set_2	0	1	0	1
Disp2_1	0	0	1	1
Stub1_2	0	0	0	1
Cenpl_2	0	1	1	0
Trmt2a_1	0	0	0	0
Alox12_1	0	0	0	1
Tmem200a_1	0	1	0	0
Stbd1_1	0	0	0	1
Creg1_1	0	0	1	1
Ms4a10_1	0	1	0	1
Wdr82_1	0	1	0	1
Ing2_1	0	0	1	1
Pcp2_2	0	1	0	0
Lmo4_2	0	0	0	1
Sra1_1	0	0	0	1
Rxfp1_1	0	0	0	1
Zhx2_2	1	0	0	0
AK005678_1	1	1	0	1
KY467776_1	0	0	0	1
Zgrf1_1	0	0	0	1
Lhx3_2	0	0	0	1
Rere_2	0	0	0	0
Slc25a29_1	0	0	1	1
Sun5_1	0	1	0	0
Mup9_1	1	0	0	0
Scp2_1	0	1	0	1
Arhgef1_3	0	1	0	0
Itpr1_1	1	0	0	0
Ptgds_1	1	0	0	1
Rpp38_1	0	1	0	0
Nfs1_1	0	0	0	0
AK014209_1	0	1	0	0
Slc36a4_1	0	0	0	0
Zfp524_1	0	0	0	1
Ctxn2_1	0	1	0	0
Atg16l1_1	0	0	0	0
Krtap31-2_1	1	0	0	0
Prkg1_1	0	0	0	0
Grip2_1	0	1	0	1
Ppp1r13b_1	0	1	1	1
Hsd17b12_1	0	1	1	1
Adgra1_2	0	0	0	0
Plekhg5_2	0	0	0	1
Sqle_1	0	0	1	1
KY468037_1	0	1	0	0
Taf3_1	0	0	0	1
Mir489_1	0	0	0	0
Nat9_1	0	0	1	1
Nacc1_2	0	0	0	1
Aldh6a1_1	0	0	1	1
Gpc6_2	0	0	0	0
Xrcc4_1	0	0	0	1
Tmc8_1	0	1	0	1
Nadk_4	0	1	0	1
AK085341_1	0	0	0	1
Pld1_2	0	0	0	1
Stx17_1	0	0	1	0
Aifm3_1	0	0	0	1
Akap13_6	0	0	1	0
Gm20324_1	0	0	0	0
Grip1_4	1	0	0	0
Hp_1	1	0	1	0
Parn_1	0	0	0	1
Trnt1_1	0	0	1	1
Cldn17_1	0	0	1	0
4933411G06Rik_1	0	1	0	0
Sorbs2_1	0	1	1	0
Mtrf1_1	0	1	0	0
Rara_2	0	0	0	1
Cd300ld4_2	0	0	0	0
Shmt1_1	0	0	0	1
Art4_1	0	1	0	0
Mtif2_1	0	1	0	0
Ap1g1_1	0	0	0	0
Prss32_1	0	0	0	1
Nfib_2	0	1	0	1
AK044432_1	0	1	0	1
Eml5_1	0	0	0	1
Ube2z_1	0	1	0	1
Skint5_1	0	1	0	0
Igsf9_1	1	0	0	0
Try4_1	1	0	0	1
Metap2_1	0	0	0	0
Rps6ka5_1	0	0	0	1
Mbtps1_1	0	0	0	1
Pcdhb20_1	0	1	0	0
Usp14_1	0	0	0	1
Snhg14_1	0	0	0	0
Polr1d_1	0	0	0	1
Fpgs_1	0	0	1	0
Lmo7_3	1	1	0	0
Elmod2_1	0	0	1	1
Olfr33_1	0	1	0	0
Pcnx3_1	0	1	0	0
Gm7008_1	0	1	1	1
Cyp2c67_1	1	0	0	0
Camta1_2	0	0	0	1
Ncor1_1	0	0	0	1
Gstm6_1	0	1	0	1
Fam47e_1	1	0	0	0
AK018309_1	0	0	1	1
Banp_1	0	1	0	1
Bptf_1	0	0	0	1
Rap1gap2_1	0	0	0	0
Gstm2_1	0	0	0	1
Zbtb10_1	0	0	0	1
Gm5464_1	0	0	0	1
Icam1_1	1	1	0	1
Rcor1_1	0	0	0	0
Foxn1_1	0	1	1	0
Mettl8_1	0	0	0	1
AK041628_1	0	0	0	1
Gm10714_1	0	0	0	0
Slc35a4_2	0	0	0	1
Mylk_1	0	0	0	1
Commd1_1	0	0	0	0
Atp10d_1	0	0	0	1
Adprh_1	0	0	0	1
Ankrd37_1	0	1	1	1
Prr5l_1	0	1	0	1
Usp11_2	0	0	1	0
Snora74a_1	0	0	0	0
Krtap6-1_1	1	0	1	0
Prph_1	1	0	0	1
Prmt2_1	0	0	0	0
Rsrc2_2	0	0	0	0
2310022B05Rik_2	0	0	0	0
Ap5s1_1	0	0	0	0
Ccdc187_1	0	1	0	0
Igf1_2	0	0	0	0
9230114K14Rik_1	0	0	1	1
Lsamp_2	0	1	0	0
Gp2_1	1	1	1	0
Atl1_2	0	0	0	0
BC046251_1	0	0	0	0
Mir465c-1_1	0	0	1	0
Tex33_1	0	1	1	0
Zfp143_1	0	0	1	1
Nudt4_1	1	1	0	1
Atg13_1	0	0	0	0
2900052N01Rik_1	0	0	0	0
Tex12_1	0	0	0	1
Ccz1_1	0	0	0	0
Ostc_1	0	1	0	0
Plec_1	0	1	0	1
Kcnh7_1	0	1	0	0
Prkd2_1	0	0	0	0
Dlgap3_1	0	1	0	1
Wnt3_1	0	0	1	0
Pdpn_1	1	1	1	0
Ap2a2_1	0	1	0	1
C4b_1	0	1	0	0
AK016813_1	0	1	0	1
U80893_1	0	1	0	1
F730043M19Rik_1	0	0	0	1
Mrgpra2b_1	1	0	0	0
March6_1	0	0	0	1
Snai2_1	0	1	0	1
AK161590_1	0	0	0	0
Lck_2	0	0	0	0
Cyb5rl_1	0	0	1	0
Hist2h3c1_1	1	0	1	0
Stn1_1	0	1	0	1
1700128F08Rik_1	0	0	0	1
Lcp2_1	0	0	0	0
Tmem220_1	0	0	0	1
AK009182_1	0	1	1	0
BC030392_1	0	1	0	0
Sox6_4	0	0	0	0
Cep78_2	1	0	1	1
Prss27_1	1	1	0	0
Gm13547_1	0	1	0	1
Sema4a_2	0	1	0	0
Cops3_1	0	0	0	0
AK029815_1	0	1	0	0
1700065D16Rik_2	0	1	0	0
Gm16853_1	0	0	0	0
Trim23_1	0	1	1	0
E330020D12Rik_1	1	0	1	0
Mcph1_1	0	0	0	1
Epb41_1	0	0	0	1
Cdhr3_1	0	1	0	0
Tnk1_1	1	0	0	1
Slc30a9_1	0	0	0	1
Smco2_1	0	0	0	0
Arc_1	1	0	0	1
Sptssb_1	0	1	0	0
Lyzl6_1	0	1	0	1
Ap1s2_2	0	1	0	1
Hist1h4k_1	1	1	0	0
Terf2_1	0	0	0	0
Armcx5_1	0	0	0	1
Snap91_1	0	0	0	0
Zfp866_1	0	0	1	1
Mad1l1_2	0	0	1	0
Ccdc106_1	0	0	1	0
AK138592_1	0	0	1	1
Akirin2_1	0	0	0	0
Itgb1_1	0	1	0	1
Rab2a_2	0	0	0	1
Ubqln2_1	0	1	0	1
Hmgb2_1	0	0	1	0
Agrp_2	0	1	0	0
Lpar6_1	0	1	1	1
Mllt11_2	0	1	0	1
Ptges2_1	0	1	0	0
Tmem11_1	0	0	0	0
Hnrnpll_2	1	0	0	1
Tap1_2	0	0	0	1
Tnfsf13b_1	0	1	0	0
Nyap1_1	0	1	0	1
Tcp10c_1	0	0	0	0
Ace_1	1	0	0	1
9330182L06Rik_1	0	0	0	0
Asns_1	0	0	0	0
F2r_1	0	1	0	1
Tpsb2_1	1	0	0	0
Afap1_2	0	0	0	0
Slc5a11_1	0	0	0	1
Spib_1	1	0	0	1
Prkra_1	0	0	0	1
Lrguk_1	0	0	1	0
Cald1_3	0	1	0	0
BC048403_1	0	0	0	1
Col5a2_1	1	0	0	0
Olfm4_1	1	1	0	0
Prkab2_1	0	0	0	1
Gbp2_1	0	1	0	1
Col4a1_2	0	0	0	1
Med12l_1	0	1	0	0
Zfp451_2	0	0	0	0
Tcf20_1	0	0	0	1
Entpd7_1	0	1	1	1
Csnk1g2_2	0	1	0	0
Tmem37_1	0	0	0	1
Aaed1_1	0	0	0	1
Zfp971_1	0	0	1	1
Cd55_1	0	0	0	1
Gnb3_1	1	0	1	0
Btbd2_1	0	0	0	1
Ap5b1_1	0	0	0	1
Ttc21a_1	0	0	0	1
Mrrf_2	0	0	0	0
Ccr9_2	0	1	1	0
Plin1_1	0	1	0	1
Arhgef9_1	0	1	0	0
Polh_1	0	1	0	1
Fgf10_2	0	1	0	0
Cd151_1	0	0	0	1
Ints4_1	0	1	1	1
Ptpn5_1	0	1	0	0
Chic2_2	0	0	0	0
Neo1_1	0	0	0	0
Capn2_1	0	1	0	1
Nrsn2_1	0	0	0	1
BC003965_1	0	1	0	0
Taf8_1	0	1	0	1
Ptk2_1	0	0	0	0
Pdlim7_1	1	0	1	1
Arap1_4	0	1	0	1
Gbp4_2	0	0	0	0
Cenps_1	0	0	1	1
Sh3d21_1	0	1	1	1
Gmppb_1	0	0	1	1
Vars_1	0	1	0	0
Cep85_1	0	0	1	1
Ccdc174_1	0	0	0	0
Golga3_1	0	0	0	0
Egr1_1	0	0	0	0
Eps8_1	0	1	0	0
X03865_1	0	1	0	0
Mthfsd_1	0	0	0	1
Dsg3_1	0	1	0	0
Vmac_1	0	0	0	1
Afap1l2_2	0	0	0	1
Rpl17_1	0	0	0	0
Dpy19l2_1	0	0	1	1
Spryd3_1	0	0	1	0
Oas1b_1	0	1	1	0
Thoc5_1	0	0	0	0
Zmiz1_2	0	0	0	0
Med1_1	0	0	1	0
Plppr1_1	0	0	0	1
Dnd1_1	0	0	1	1
Cpne7_1	0	1	0	1
Zfp760_1	0	1	0	0
Ptprh_2	0	0	0	0
Hbegf_1	0	1	0	1
Cyp4f17_1	0	1	1	1
Sertad4_1	0	0	0	1
Ptchd4_1	1	0	0	1
Samd3_1	0	0	0	0
Ncoa5_1	0	1	0	0
D830030K20Rik_1	0	0	0	1
Padi4_1	1	0	0	0
Scarb2_1	0	0	0	0
Pou5f1_1	0	0	0	1
Oxld1_1	0	1	0	0
Ms4a1_1	0	1	0	1
Ctnnb1_1	1	0	0	1
Ldb1_2	0	0	0	1
Psg26_1	0	0	0	0
Brdt_1	0	0	1	0
P2ry10b_2	0	1	0	0
Smap1_2	0	0	0	0
Dlgap1_1	0	0	0	0
Inhba_2	0	0	0	0
Naprt_1	0	0	0	1
Cyp4a14_1	1	1	0	0
Sdr16c6_1	1	1	0	1
Rbm27_1	0	0	1	1
Fsd1_1	0	0	0	0
Nsun5_1	0	0	0	0
Hif3a_1	0	0	1	1
ANF_1	1	0	0	1
Arid3b_2	0	0	0	0
Rb1_1	0	0	0	0
Tpm3_2	0	0	0	0
Cdh4_1	0	1	0	0
Ctc1_1	0	1	0	0
Rcan1_1	1	0	0	0
Vstm2a_1	0	0	1	0
Prkca_1	0	1	0	1
Bmp1_2	0	0	1	1
Baz1b_1	0	0	1	1
Ankrd1_1	1	0	1	1
Rab8b_1	0	1	1	1
Eif4e2_1	0	1	0	1
Slc35f1_1	0	1	0	1
Krtap5-4_1	0	1	0	0
Plekhs1_1	0	1	0	0
Hgd_1	1	1	1	1
Tmem45b_1	0	1	0	0
Hars_1	0	0	0	0
Sema3a_2	0	0	0	0
Chrm1_2	0	1	0	0
Ttc14_1	0	0	0	1
Abhd15_2	0	0	0	0
Cdiptos_1	0	0	0	0
Rhox4b_1	0	0	1	0
Enc1_1	1	0	0	1
Tbc1d31_1	0	0	1	1
Ndufb3_2	0	0	0	0
Shisa9_1	0	0	0	1
Aak1_1	0	1	0	0
1700029P11Rik_1	0	1	0	1
Slc25a28_1	0	0	1	1
Fam135b_2	0	0	0	0
Phox2a_1	1	1	0	1
Vapb_1	0	0	0	1
Gm5901_1	0	0	0	0
AK189633_1	0	0	0	0
Mir219a-2_1	0	0	0	0
Rrp1b_2	0	0	0	1
Mob3b_1	0	0	0	0
Tm9sf4_1	0	0	0	0
Arhgap22_2	1	0	0	0
Ccni_2	0	0	0	1
Pinx1_1	0	0	0	1
Tmco5_1	0	0	0	0
Pga5_1	0	1	0	0
Zfp13_1	0	1	0	0
Pdzk1ip1_1	0	1	0	1
Spock2_1	0	1	0	1
Rnf111_1	0	0	0	1
Magee2_1	0	1	0	1
Wdr13_2	0	1	0	0
Rtn3_1	0	0	0	0
Fasl_2	1	1	0	0
Gdf10_1	0	1	0	0
Ptprv_2	0	0	0	0
Phactr3_2	0	0	0	1
Ccdc85b_1	0	0	0	1
AK039020_1	0	0	0	0
Zswim6_1	1	0	0	1
Eml1_1	0	1	0	1
Fam178b_1	0	1	0	0
Otog_1	0	0	0	1
E2f8_1	0	0	1	1
Bop1_1	0	1	0	0
C130080G10Rik_2	0	1	1	0
2310057M21Rik_1	0	0	0	1
Gas2_2	0	1	1	0
Itga10_1	0	0	0	1
Kank1_2	0	0	0	0
R3hdm2_4	0	1	0	1
Defb12_1	1	0	0	0
Tsen15_1	0	1	0	1
Ndufaf8_1	0	0	1	0
Itgb3_1	0	0	0	0
Cdc42bpb_1	0	0	0	1
Eps8l2_1	0	1	0	1
Adam15_1	0	0	0	0
Rab39b_1	0	0	0	0
Klhl7_1	0	0	0	0
Bmp2k_1	0	0	0	1
Ambra1_1	0	0	0	0
Cish_2	0	0	1	1
Svs3b_1	1	0	0	0
Apool_1	0	0	0	1
Dact3_1	0	1	1	1
Tac1_1	1	0	0	0
Acyp2_1	0	0	0	0
Ap3b2_2	0	1	0	0
